Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDK60,1569.8647282585107,OUT017
FDZ25,2852.880044431942,OUT017
FDG12,2070.750237032074,OUT046
DRB01,505.27120338816104,OUT019
NCC43,6424.704646509446,OUT027
FDX13,591.2045136339831,OUT019
FDM22,833.4835868657246,OUT049
FDJ03,1426.6010907044079,OUT027
FDU14,3944.6835923092185,OUT018
FDB33,326.1955594079,OUT010
FDP27,3217.607678665278,OUT046
FDO38,183.04541642347968,OUT010
FDE28,6225.572840177482,OUT027
FDO27,1667.547782992404,OUT035
DRL23,2518.274723600691,OUT027
FDS28,963.376642199415,OUT046
FDX24,1524.715529182559,OUT013
FDZ02,1497.90622969429,OUT035
FDL46,1645.741302073231,OUT045
FDS60,4154.440725706961,OUT027
NCO06,509.3267593040414,OUT017
FDO16,1741.398892533589,OUT035
FDC60,1620.346052438593,OUT049
FDA48,3680.3110552525022,OUT018
FDZ36,5082.286460225258,OUT027
FDK27,1936.7490611397625,OUT045
FDW23,263.0097798544656,OUT018
FDM14,1418.9562916884547,OUT018
FDM14,1792.5299765355053,OUT013
FDW60,2810.143285939843,OUT018
FDE21,2085.113988141972,OUT013
NCM42,1732.3690374495088,OUT035
FDY59,216.59025493560694,OUT010
DRI49,1342.2475682478478,OUT049
FDT28,267.47547519139505,OUT019
FDQ22,311.8894705483148,OUT018
FDR60,1351.3998352313176,OUT049
FDC50,252.23765878334825,OUT019
FDV24,2279.4437184850904,OUT013
DRF48,537.5800296463061,OUT010
FDQ47,634.9154410644703,OUT046
DRN36,1630.26519755109,OUT049
NCY06,2114.100316283384,OUT035
FDE52,1301.8769215136574,OUT035
NCB54,1794.4750622648928,OUT045
NCF31,2439.5731479254537,OUT035
FDJ08,5115.655352023973,OUT027
NCC07,1644.2448992748436,OUT017
NCD19,1665.7606546305274,OUT027
FDL46,2022.6474071249854,OUT049
FDM20,4240.295526912418,OUT045
NCI06,388.5557617547878,OUT010
DRM11,4111.405506085398,OUT035
NCH07,2618.808164264668,OUT018
FDS23,2220.771103097792,OUT013
FDO49,618.890104742571,OUT018
FDS35,973.189519956637,OUT049
DRK39,1523.1838156385613,OUT045
DRI39,863.6172447020199,OUT049
FDV04,2267.8875292469093,OUT017
NCN14,3180.198434621426,OUT035
FDH08,4014.7500850864585,OUT013
FDS20,3201.992481101238,OUT046
FDV40,1125.6444043210477,OUT049
FDZ48,207.86280071320678,OUT010
FDS24,2212.0624644556165,OUT027
FDK44,2696.187649491167,OUT049
FDS48,2702.56536449583,OUT045
FDK26,465.1771873672432,OUT010
FDD23,3422.425296541372,OUT045
NCH54,2743.8231149773596,OUT017
NCP14,204.78896088324,OUT010
FDM60,67.53092542979083,OUT010
FDV24,2313.3727619475567,OUT017
FDH08,3353.5933178188325,OUT018
FDS12,3018.471108250129,OUT027
FDR39,4751.285463593184,OUT027
FDP12,972.7199648114209,OUT027
DRF60,5460.966666326605,OUT027
FDC09,1847.5559356607487,OUT035
FDF50,2961.0887138331495,OUT018
FDG28,4068.274235886496,OUT035
NCE19,929.8066845530276,OUT017
NCM53,222.73573192843912,OUT010
NCN18,1713.1023649212566,OUT049
FDF32,3119.702373553406,OUT035
FDF11,4114.503134187314,OUT013
DRI59,3965.8796422649975,OUT049
NCG54,2810.640605135726,OUT035
FDM44,1782.5819792952796,OUT046
FDT57,2963.857086305702,OUT018
FDV24,2307.865993159116,OUT046
FDI50,568.5254428357555,OUT019
FDS09,814.5901680581873,OUT035
NCC31,3784.700569309611,OUT027
FDQ07,400.49321880142645,OUT019
FDC22,3221.4204418386153,OUT017
FDZ56,2673.010438796948,OUT046
FDZ40,204.76980950903118,OUT019
FDS46,2456.181663530461,OUT027
DRD24,1892.0653575176557,OUT045
FDV45,3173.1636534832114,OUT017
FDL26,2727.5508680584,OUT045
FDA56,1735.3956159818997,OUT018
FDN27,1787.948864123722,OUT046
FDM20,4396.7284121279035,OUT049
FDO16,1788.0861700341836,OUT017
FDL03,3115.7843763478445,OUT035
FDE58,1868.088200871151,OUT046
FDI02,3252.2743857293353,OUT027
NCC55,65.27873706317358,OUT019
FDR03,2986.8293994231335,OUT018
FDB14,1600.2162529351092,OUT017
FDR45,4033.453838011822,OUT013
NCN07,2039.1866544776265,OUT017
FDM51,251.50725528885147,OUT019
FDT52,5850.265443750072,OUT027
FDL26,2653.4673396237877,OUT046
NCZ42,3704.913848880414,OUT046
DRI47,430.7331410919692,OUT019
FDW40,2253.165395119323,OUT013
FDN34,2982.5498796651045,OUT046
FDS01,3071.0617994021554,OUT035
NCG55,1890.9348827646286,OUT045
FDC11,1285.3408000691168,OUT035
FDX35,2914.8438605208335,OUT018
NCB06,2614.49226747297,OUT046
FDR09,660.4349248332496,OUT019
FDC53,1452.992201311474,OUT017
FDY45,3948.8995579588927,OUT013
FDA22,361.63643806326576,OUT010
FDE02,1622.0131374344426,OUT035
FDW21,1563.002957214943,OUT045
FDV34,1124.219157083699,OUT046
FDS59,1951.1963231553,OUT049
NCW17,2248.9825402159618,OUT017
NCK54,2002.0128519172592,OUT046
FDG17,546.5270481911392,OUT019
FDG35,3149.0512805626313,OUT017
FDD08,71.61822150158493,OUT010
NCO07,3892.6320984850263,OUT017
FDJ10,311.95691552276975,OUT010
FDW36,1740.5173629010908,OUT017
FDW21,188.2920503194746,OUT010
FDY19,1860.246351230395,OUT017
DRE03,781.5528601631712,OUT013
NCC55,677.5432749825187,OUT049
FDH52,166.86546595406747,OUT010
FDO09,3942.807913743402,OUT017
FDU43,4053.1762171591636,OUT045
FDX09,427.3254065232512,OUT010
FDH40,232.80924053638955,OUT019
FDW58,1753.2937005782403,OUT017
FDC47,3834.8355976214348,OUT017
NCR41,1550.3250309353766,OUT035
DRG49,4363.392149168496,OUT035
FDC52,5102.7066137360225,OUT027
FDY13,1207.8840170169867,OUT046
FDY35,717.3906483099278,OUT013
FDI35,3559.3816201821674,OUT017
NCU18,2145.0304695893956,OUT049
FDY33,2697.4915526769064,OUT018
FDC15,3736.4612894921456,OUT027
FDU01,3325.995204800518,OUT049
NCU42,2801.8216738127935,OUT046
NCV29,2712.7752142481186,OUT018
NCY30,3188.06448334343,OUT017
FDQ46,1658.855208435742,OUT049
FDG58,3475.5940682650184,OUT027
FDK33,4014.68496130924,OUT017
NCD07,1689.76863038735,OUT045
NCX29,3958.8739206512582,OUT027
NCT42,2301.5807696176385,OUT013
DRN59,733.793371919928,OUT035
FDI44,1263.8739939232603,OUT035
FDA45,2317.3130776980533,OUT049
FDP31,926.3478221759914,OUT045
FDY01,1980.2349479852498,OUT046
FDT09,1803.9216353645354,OUT018
DRH03,2214.9457781529127,OUT027
FDA36,2723.7493319998816,OUT018
NCF31,2382.4279299194914,OUT017
FDG14,2491.2748472319195,OUT049
FDG28,5682.460298565849,OUT027
FDU14,3948.5411447486968,OUT049
FDY47,295.2713382565625,OUT019
FDI56,1444.4015034872234,OUT049
DRD01,778.4015321622389,OUT013
FDM22,984.857216296491,OUT046
FDH33,630.2003971027009,OUT013
DRZ24,1972.0600102347844,OUT013
NCQ38,1736.881236193801,OUT046
FDO16,2217.7884810428422,OUT027
FDU07,3765.1055982715693,OUT027
NCB07,3074.774802797989,OUT013
FDU48,1860.9944936499141,OUT045
NCM43,2721.3472443972023,OUT045
FDR31,349.07512623963817,OUT010
DRK49,349.98332285150497,OUT018
NCI30,625.4818956963354,OUT010
DRD60,3197.4853521831164,OUT017
NCG19,3349.366550294682,OUT046
FDH12,1807.3927825414316,OUT035
FDM32,1625.5934672437968,OUT035
FDM27,2668.5197960233304,OUT035
NCU53,5490.650617964327,OUT027
NCQ18,1665.770910216719,OUT046
FDS10,3014.6935856381324,OUT013
FDB33,4733.424684345975,OUT027
FDI12,1255.4083075345786,OUT013
NCW42,3865.881388250459,OUT013
NCC06,1668.0587981549595,OUT018
FDW02,2053.370786590644,OUT017
NCD43,1726.9185499982316,OUT017
FDM57,1147.935617697838,OUT018
FDA58,3636.6871946763827,OUT017
FDK56,3166.705806588007,OUT046
FDP52,3773.3231288478923,OUT045
FDW20,1633.1843898542347,OUT018
FDS52,1469.1219045078988,OUT049
NCT29,1597.548426126005,OUT018
NCL54,2936.1563275493127,OUT013
FDC05,2829.8573023260683,OUT045
FDF34,3040.223510321909,OUT035
FDP03,3339.8795242094093,OUT027
FDD32,205.28888508130885,OUT010
FDZ10,2071.400483101501,OUT045
FDZ40,965.4926817597966,OUT035
FDD51,556.7282139863656,OUT018
NCY30,425.39559745844446,OUT019
FDP58,3594.5587187986016,OUT017
FDV49,4271.558663755167,OUT017
FDY24,179.10329346733607,OUT019
NCO55,1780.7518212347998,OUT017
FDR13,1877.7435760008475,OUT017
FDS51,1027.8022131096375,OUT017
FDP26,1569.8823209098907,OUT045
NCB54,3456.9547655631472,OUT027
FDF32,3051.0250184529214,OUT017
FDN31,2709.1797133424598,OUT018
DRM48,678.349570251053,OUT017
FDN20,2662.8820077875725,OUT049
DRL01,3667.830086626648,OUT046
FDV56,1772.5457772626592,OUT049
DRH13,2679.834973298418,OUT027
FDA03,2462.9678381775134,OUT017
FDF47,5277.984994624078,OUT027
FDX32,2688.294421839378,OUT046
FDX57,1618.3228861126254,OUT049
NCA30,3053.0715078661965,OUT045
FDO49,731.8780907856767,OUT013
FDL04,228.83845460560968,OUT019
DRM48,681.2292499356771,OUT035
FDR16,3649.2969765894954,OUT013
NCC19,2892.890673818545,OUT018
NCE42,3391.581022554874,OUT045
FDY24,1075.7126870887616,OUT017
FDH19,2807.697453323087,OUT049
FDJ46,2772.744184016493,OUT013
FDN45,615.2830655521421,OUT010
FDY08,2087.977955898931,OUT035
FDZ37,1398.6486007871406,OUT035
NCT30,797.4205477835561,OUT045
DRY23,397.2678624062502,OUT018
NCZ30,1845.0240892508114,OUT018
FDC44,1432.540609174139,OUT018
FDB45,1648.0829309875935,OUT035
FDY04,2588.5056235906736,OUT013
FDM27,2658.0156202050343,OUT046
FDZ43,4274.027735258436,OUT017
FDT39,373.54810869532383,OUT019
NCC06,307.6971396231318,OUT019
FDL15,3657.7570578771906,OUT027
FDL57,4306.407726947636,OUT017
FDU08,1528.8806513697489,OUT046
FDK40,4205.203458024124,OUT017
FDQ12,454.0299354641076,OUT010
FDS48,2631.6578114864506,OUT017
FDP09,3548.2280053764753,OUT045
FDW21,1563.5222714482334,OUT049
FDY25,3251.200200885154,OUT035
DRE13,1593.9159036738931,OUT017
FDV43,80.63072706281963,OUT019
FDD22,1690.05143501378,OUT045
FDM46,306.57384102406695,OUT019
NCO30,541.3644045251419,OUT010
FDM25,2843.5313870899836,OUT046
NCN41,2012.839990722459,OUT049
FDU24,1573.3229624017356,OUT045
FDZ50,3233.505682617215,OUT046
FDP45,3962.362624004826,OUT013
NCM54,1906.818928762052,OUT045
FDW10,374.4680447630398,OUT019
FDP20,1900.9360118152206,OUT017
FDK32,2631.461880371693,OUT046
FDN52,1216.8706174460185,OUT049
FDM58,1921.0627868196148,OUT045
FDZ46,2912.4015022778112,OUT027
NCA18,1551.2962660624748,OUT018
FDD35,2152.6691464369997,OUT046
NCK31,734.4766891404233,OUT035
FDI40,2731.660236940081,OUT027
FDT50,237.0414573512961,OUT019
NCT06,2774.6201577141323,OUT046
FDT31,3014.3194752138343,OUT035
FDT45,773.9450006490648,OUT049
FDT13,3116.803032470988,OUT045
FDO50,1407.6421220574,OUT045
NCU18,305.5891777491656,OUT010
NCR54,3245.58067394092,OUT049
NCO18,2749.8031346082093,OUT018
FDU09,811.6472251413209,OUT045
FDT13,2831.947621325556,OUT018
FDE09,1776.474614253806,OUT046
NCK53,254.25814199356697,OUT019
FDG45,3653.6838792877143,OUT049
DRH15,700.0628122314515,OUT035
FDO21,482.01053988903953,OUT019
FDD14,5449.365456849336,OUT027
FDC09,1858.410719676817,OUT046
FDH45,1032.6428846983933,OUT027
FDV32,1033.5778862844102,OUT046
FDG12,1944.9064889835656,OUT035
FDS32,2067.9222329562986,OUT013
NCL55,3653.8527008412025,OUT018
DRE01,4086.2286017314827,OUT035
DRE15,1408.320167867707,OUT049
NCL42,3960.0568554132924,OUT045
FDP31,908.4932796745061,OUT013
FDN33,1398.61695666984,OUT018
FDZ59,2503.9418945094826,OUT046
FDE45,397.9960221871757,OUT010
FDJ07,1942.8351997259567,OUT013
FDQ45,2852.7883315560066,OUT018
FDM33,5098.8596990284,OUT027
FDO15,183.64591452036882,OUT010
FDM46,1584.2488355246737,OUT013
FDR03,3140.4766927699247,OUT045
FDY49,2644.8696030903657,OUT018
FDQ60,1851.8290441597576,OUT045
FDW10,2757.0703860199983,OUT049
FDO51,676.51327980355,OUT049
FDJ40,1369.4761863197216,OUT018
FDS20,2743.346736079537,OUT018
FDU45,2128.0526429747315,OUT013
FDV02,2683.977141068357,OUT035
FDN09,3759.9641470716097,OUT046
NCM55,5259.386283645831,OUT027
FDN23,2407.782471468715,OUT018
FDY31,374.36622664466876,OUT010
FDW03,243.9478476946189,OUT010
FDD14,3260.692777297576,OUT046
FDV23,1964.7591992292619,OUT017
DRI03,2744.2109949858386,OUT045
FDN13,1438.147777353899,OUT035
FDF45,1751.2171511047402,OUT027
FDU46,1273.8110112406591,OUT035
FDB57,3757.890828467574,OUT049
FDV12,1632.8840290783485,OUT049
FDQ58,2312.064116464566,OUT013
NCA18,1758.7477974095516,OUT017
FDH52,941.251632329287,OUT049
FDM24,2333.2663008690292,OUT018
NCP43,4535.3977806898065,OUT027
NCO18,453.48722898124817,OUT019
FDM32,1458.847036292567,OUT017
NCL07,639.8667314944026,OUT017
FDK03,4016.033090633316,OUT013
FDP59,1637.9228789273177,OUT017
FDQ24,4052.755751182401,OUT049
FDQ16,1338.9988263593,OUT018
FDU44,2563.032343513508,OUT013
FDH28,109.8605011485038,OUT010
FDV28,85.54353772302608,OUT019
FDM22,932.8055730526312,OUT045
FDR56,3124.6228558743646,OUT046
FDV39,3065.6384574917765,OUT049
FDU37,234.64654586902685,OUT019
FDQ11,811.1101643387419,OUT010
FDX02,3656.689356130069,OUT045
NCS42,1256.597760468659,OUT018
FDY57,2621.099112337665,OUT027
FDB21,4074.4654023497546,OUT049
FDE28,3609.596235770025,OUT017
FDQ55,2186.2703626994626,OUT017
FDA48,3702.898202393811,OUT049
FDZ19,2653.2554769670146,OUT045
NCC43,3589.683144551382,OUT045
NCV18,1703.8159009262613,OUT046
NCA42,2581.8803829539934,OUT018
FDY45,3795.7192709604874,OUT046
NCC30,2971.743086085757,OUT045
FDM57,1248.4631024379187,OUT013
FDL09,392.0377644605418,OUT010
FDB09,3808.783485203106,OUT027
FDT44,1882.7499462039223,OUT035
NCT06,4144.176082133674,OUT027
FDX26,3291.118595361769,OUT049
FDK32,2558.506544218147,OUT013
DRA12,2088.67103505117,OUT046
FDO46,559.67765683437,OUT010
FDE52,1312.9288523016226,OUT013
NCH42,3785.997406524187,OUT045
FDV08,689.9860341509561,OUT035
FDB47,2924.2399914857865,OUT018
FDC28,228.69643379814283,OUT010
FDD22,1718.2888255536643,OUT046
FDS07,3407.1743936698613,OUT027
DRI13,3724.9482075434394,OUT045
FDG32,3734.6646890810403,OUT018
FDU14,3920.9576862523436,OUT017
FDD28,187.5522183619577,OUT019
NCP41,1695.7323242268435,OUT017
FDS08,2674.3420120337555,OUT049
FDX47,2360.064271392158,OUT045
FDC53,198.44707347870593,OUT019
FDQ19,4269.457436292914,OUT035
FDL14,2318.9717137020107,OUT045
FDM33,525.5186403430005,OUT019
FDA51,1984.471532200028,OUT045
FDZ27,648.6875539867309,OUT018
FDT04,638.7345226972755,OUT046
DRC13,1977.2545157387149,OUT049
FDR16,5356.132127388722,OUT027
FDQ03,6442.635330409144,OUT027
FDE38,2582.833153634067,OUT035
DRH23,1875.619799803568,OUT027
FDT11,575.0199000333805,OUT019
FDD09,3021.796146506701,OUT035
FDR40,1468.913102044041,OUT045
FDX07,3126.2876088963917,OUT017
FDR07,1581.4265639570647,OUT035
FDA51,1903.2021222392257,OUT017
FDT59,568.5058177937664,OUT019
FDF20,3081.9723118493093,OUT017
FDR13,1798.4072245885811,OUT045
FDY26,3591.3837942579667,OUT049
FDW04,1867.154833446285,OUT017
FDK52,4058.0857204697645,OUT017
FDN60,2740.2076692612477,OUT049
FDM09,455.649134140137,OUT019
FDP46,1292.5042205331893,OUT049
FDB50,253.7240855207751,OUT019
NCQ29,3971.5996381599443,OUT049
FDP16,5929.006378886234,OUT027
FDX33,2495.3233347433743,OUT018
FDP07,554.4981970234202,OUT010
FDN22,3751.8052780795283,OUT046
FDF39,3950.8457004957017,OUT049
FDS21,1004.3400905913771,OUT017
NCM42,1765.6039059078641,OUT013
FDK50,508.6929402565333,OUT019
DRF13,3587.4273162669224,OUT027
FDH35,2546.152942868102,OUT018
FDP60,1404.5112725235765,OUT018
DRJ49,3223.9105082738797,OUT027
NCT42,393.7247401396472,OUT019
FDE38,2569.0951573758625,OUT049
FDI04,2938.7110750620163,OUT049
NCH54,2725.8668348477954,OUT045
FDT56,819.546611537753,OUT049
DRD15,3280.955600180363,OUT018
FDV58,2335.607539098853,OUT013
FDP21,3347.9553134953017,OUT049
FDH05,3705.5917026393904,OUT013
FDR10,5446.923401478006,OUT027
NCP06,2429.3374343283313,OUT045
FDF33,1712.6232568353153,OUT049
DRK37,3199.5162875873725,OUT013
DRH49,1352.015173150459,OUT045
FDT58,2572.4087251719307,OUT013
FDD41,1407.5178950733305,OUT018
FDP40,2073.7670478168666,OUT018
FDM51,2655.5139660354284,OUT027
FDO45,224.14871945902516,OUT010
FDW33,226.04408571144836,OUT010
FDY24,966.3836530633248,OUT045
FDB10,571.5093740462879,OUT010
FDM40,2080.5036625774756,OUT035
NCI06,3194.2745057344155,OUT017
FDW12,330.2931370273667,OUT019
FDX48,3789.7621738864486,OUT027
NCW05,2918.135395884528,OUT027
FDX27,1558.1146541007897,OUT017
DRM37,2886.520795702127,OUT045
FDA38,3626.3736498935796,OUT045
FDR36,684.6890337003929,OUT046
FDZ45,3053.6246136533914,OUT046
FDG05,2485.1225697699842,OUT017
FDK28,4142.466537470073,OUT013
FDV47,1312.7677976877171,OUT045
FDN21,2590.06507321891,OUT045
FDP20,3475.44394230863,OUT027
FDI35,3323.8691393458776,OUT045
DRY23,672.6648409297552,OUT013
FDA56,2062.0646300105627,OUT017
FDB09,2061.8715662961054,OUT013
NCO26,2388.062155330461,OUT027
FDQ49,2583.1066152221315,OUT018
FDI52,2985.5269200242165,OUT027
FDZ44,2980.1926795592144,OUT027
FDZ09,2671.4308554683284,OUT018
FDY03,1951.8727129537733,OUT049
NCG42,2059.3127958613354,OUT017
DRI13,5785.308900866201,OUT027
FDQ32,2118.7419200779323,OUT013
FDW16,1327.7538732517564,OUT035
FDU27,846.369528001285,OUT046
FDR28,327.41433360779195,OUT010
FDQ49,329.1476949851605,OUT010
FDS37,1962.1974368827696,OUT046
FDW26,3431.8947315603205,OUT018
FDX12,3506.09206145538,OUT018
NCP06,2498.4224692145594,OUT013
FDW45,331.5329478777795,OUT010
NCN30,1534.1843736303101,OUT049
FDN24,860.3245321709038,OUT049
NCL41,947.7140514828914,OUT027
FDR02,250.6931539042118,OUT019
FDD09,428.43925752520676,OUT010
FDS33,196.30377454759406,OUT010
FDU22,1913.6773191976838,OUT045
FDI53,2412.995843131954,OUT013
DRH01,2864.5350410484643,OUT049
FDX32,2207.2347788308643,OUT013
NCP30,447.0722120941374,OUT018
FDB60,2998.524180351005,OUT045
FDB14,1617.7908407103312,OUT049
NCP02,889.508219620333,OUT035
FDJ10,2091.529195145228,OUT017
FDG34,1968.1250135109115,OUT046
NCB18,1318.0624032306775,OUT017
FDM16,1174.9264095935446,OUT049
FDW25,1493.3092849302302,OUT018
FDB35,216.9855297379719,OUT010
DRN11,2165.0339863046024,OUT013
FDF41,633.9358551677595,OUT019
FDH16,1255.0664046375398,OUT045
NCQ50,3297.0601654125735,OUT018
DRH23,709.4551795535815,OUT018
DRJ37,2391.8999865479723,OUT013
DRJ24,5607.4723882426,OUT027
FDY16,3190.6669045006915,OUT035
FDQ27,1768.4373787566865,OUT045
FDZ33,2432.5129151140422,OUT045
FDF29,2026.2645229488462,OUT045
FDA08,2584.861485483587,OUT049
FDG31,1156.3067868879482,OUT046
FDE34,504.3119208282028,OUT019
NCR30,2160.8546156376037,OUT027
FDV33,4169.32751071843,OUT035
DRZ24,1725.5890597702,OUT018
NCL54,2885.14233942648,OUT035
FDR12,2852.632530390343,OUT049
NCC54,3812.061050861268,OUT046
DRN59,745.7308162857706,OUT013
FDX50,230.42526378010402,OUT019
FDV31,4197.729867543806,OUT027
NCA29,4758.705418983054,OUT027
FDW60,3007.853207417711,OUT049
FDX08,3199.2703810327416,OUT017
DRD49,3809.161724737467,OUT013
FDD33,3593.3502881791073,OUT046
FDW35,743.6311756502699,OUT013
FDJ36,1899.5694441677801,OUT017
FDV51,2846.896309390051,OUT035
FDW36,1746.9692151040645,OUT046
FDH35,2610.3305162924266,OUT046
NCS30,2828.5359568038475,OUT027
FDN49,608.8224998927883,OUT017
FDL08,3514.414550316627,OUT018
FDI09,3551.6004345445936,OUT013
FDP19,1948.346163305404,OUT018
FDU21,81.47860416004205,OUT010
NCP41,1550.3796378993306,OUT045
FDY10,1776.0967916781663,OUT013
FDP12,368.01063103690274,OUT018
NCN26,1930.8912076491054,OUT049
FDK44,2757.103163494766,OUT013
FDC28,1689.7436148324014,OUT049
FDJ41,5328.662867249627,OUT027
NCT29,1911.0379761442819,OUT035
NCH42,528.1198970241021,OUT019
FDU60,2600.550825087861,OUT018
FDS02,3171.2503343767726,OUT045
FDC51,2174.9382410125318,OUT046
FDU03,3263.785998850758,OUT013
FDX39,3674.5718408912776,OUT045
NCY05,66.54384836457614,OUT010
NCL06,5956.518133881944,OUT027
FDD32,1197.3247164172044,OUT035
NCN41,1871.2227903533071,OUT045
NCX53,2008.9307827750638,OUT049
FDU57,321.71583736569113,OUT019
FDQ23,1812.3029946866604,OUT046
FDQ52,4186.361474679622,OUT045
FDC14,649.234046962298,OUT045
FDY09,2990.8853769521634,OUT035
FDQ28,2630.1038454940867,OUT045
FDV25,3925.1481009927966,OUT046
FDJ07,1893.666226516582,OUT035
DRB25,1745.5354599807388,OUT049
FDK52,611.3266485217941,OUT019
FDY52,1566.2906125595587,OUT027
FDB28,3121.7493180493525,OUT046
FDT36,643.4503005771398,OUT035
FDV25,4001.3369087318342,OUT017
NCN07,3078.8408755527603,OUT027
FDC57,3128.9672111327104,OUT017
FDQ03,3196.3223487937757,OUT018
FDU23,2811.391227911269,OUT017
NCX41,3911.5202132812465,OUT035
NCD06,793.4794743472937,OUT035
FDW08,1600.5889687422855,OUT045
NCU29,2688.3562176814917,OUT017
NCE06,2279.660057250903,OUT013
FDV52,270.53374564597686,OUT010
FDB02,3045.4801676631696,OUT017
NCR18,673.2813870342029,OUT045
FDK16,1495.9720530819422,OUT049
NCQ29,635.5600909327732,OUT010
FDZ01,193.3012210675258,OUT019
FDW27,2368.240319189821,OUT035
FDD17,3537.9577499552915,OUT018
FDW39,2911.1976147499527,OUT013
DRH59,990.1007450798861,OUT045
FDS52,1595.837592071292,OUT013
FDU40,5301.386352294672,OUT027
NCF54,2814.3510723384416,OUT013
FDH46,1671.066490314313,OUT045
NCP14,1859.6145720808893,OUT049
FDH50,3280.7514058326265,OUT049
DRF15,310.5017567713232,OUT010
FDV27,2324.1841536592146,OUT027
NCJ06,2079.7027069573305,OUT049
FDN02,3197.6261351726575,OUT018
FDQ51,812.1893030595897,OUT049
FDQ07,4198.42033445891,OUT017
FDS45,1782.5150682433525,OUT049
NCJ06,1924.8157016294035,OUT045
FDD36,2019.6621928601348,OUT035
FDY25,3167.0116768875428,OUT045
FDU52,2319.2712045315807,OUT046
DRK47,3937.1623436971486,OUT017
NCL30,1938.4595359470388,OUT017
FDN22,3934.463322735912,OUT035
NCF30,3139.486558230562,OUT027
FDK03,3966.3147298945278,OUT035
FDT45,899.9427121320749,OUT017
NCC54,5986.917709655654,OUT027
